db.Total.Records,db.Year.of.Breach
"11,000",2008
"11,300",2008
"11,500",2008
"13,000",2008
"13,000",2008
"13,000",2008
"13,800",2008
"15,000",2008
"16,000",2008
"16,857",2008
"17,000",2008
"17,241",2008
"18,000",2008
"18,432",2008
"19,000",2008
"20,000",2008
"20,000",2008
"20,400",2008
"21,000",2008
"23,000",2008
"25,000",2008
"25,000",2008
"25,000",2008
"28,168",2008
"29,800",2008
"30,000",2008
"30,000",2008
"33,000",2008
"35,000",2008
"36,000",2008
"37,000",2008
"38,000",2008
"38,000",2008
"40,000",2008
"40,000",2008
"40,000",2008
"42,000",2008
"45,500",2008
"47,000",2008
"49,841",2008
"51,000",2008
"51,000",2008
"55,000",2008
"55,000",2008
"56,000",2008
"57,160",2008
"59,419",2008
"60,000",2008
"68,857",2008
"70,000",2008
"70,000",2008
"71,000",2008
"72,000",2008
"74,256",2008
"80,000",2008
"80,124",2008
"84,554",2008
"88,000",2008
"89,000",2008
"92,095",2008
"97,000",2008
"98,930",2008
"100,000",2008
"103,000",2008
"108,000",2008
"119,000",2008
"128,000",2008
"128,000",2008
"150,000",2008
"200,000",2008
"202,000",2008
"226,000",2008
"259,193",2008
"260,000",2008
"300,000",2008
"321,000",2008
"330,000",2008
"700,000",2008
"700,000",2008
"1,000,000",2008
"1,100,000",2008
"2,100,000",2008
"2,200,000",2008
"3,400,000",2008
"4,200,000",2008
"12,500,000",2008
"17,000,000",2008
"80,000,000",2008
10,2009
19,2009
20,2009
20,2009
21,2009
25,2009
45,2009
45,2009
50,2009
53,2009
60,2009
60,2009
65,2009
100,2009
100,2009
100,2009
100,2009
101,2009
120,2009
140,2009
140,2009
140,2009
150,2009
160,2009
170,2009
175,2009
192,2009
200,2009
200,2009
200,2009
226,2009
230,2009
242,2009
250,2009
261,2009
292,2009
300,2009
300,2009
303,2009
341,2009
350,2009
350,2009
431,2009
450,2009
450,2009
455,2009
463,2009
475,2009
493,2009
500,2009
500,2009
500,2009
501,2009
501,2009
520,2009
550,2009
565,2009
596,2009
597,2009
600,2009
610,2009
623,2009
676,2009
766,2009
800,2009
857,2009
865,2009
900,2009
900,2009
942,2009
943,2009
952,2009
962,2009
"1,000",2009
"1,000",2009
"1,000",2009
"1,000",2009
"1,000",2009
"1,000",2009
"1,000",2009
"1,000",2009
"1,300",2009
"1,300",2009
"1,325",2009
"1,400",2009
"1,400",2009
"1,500",2009
"1,500",2009
"1,600",2009
"1,600",2009
"1,600",2009
"1,700",2009
"1,700",2009
"1,892",2009
"2,000",2009
"2,000",2009
"2,000",2009
"2,100",2009
"2,246",2009
"2,400",2009
"2,828",2009
"3,200",2009
"3,360",2009
"3,800",2009
"4,000",2009
"4,000",2009
"4,400",2009
"4,400",2009
"4,500",2009
"4,500",2009
"4,500",2009
"4,500",2009
"5,000",2009
"5,000",2009
"5,045",2009
"5,166",2009
"5,257",2009
"5,900",2009
"6,000",2009
"6,000",2009
"6,145",2009
"6,400",2009
"6,400",2009
"7,845",2009
"8,000",2009
"8,775",2009
"9,000",2009
"9,000",2009
"9,300",2009
"10,000",2009
"10,200",2009
"10,868",2009
"11,000",2009
"13,329",2009
"14,000",2009
"14,023",2009
"14,380",2009
"14,783",2009
"15,487",2009
"17,214",2009
"18,000",2009
"19,000",2009
"21,000",2009
"27,000",2009
"28,000",2009
"28,000",2009
"29,500",2009
"30,000",2009
"30,000",2009
"31,000",2009
"33,000",2009
"36,000",2009
"37,000",2009
"38,000",2009
"40,000",2009
"42,000",2009
"45,277",2009
"48,000",2009
"51,000",2009
"52,000",2009
"56,000",2009
"59,000",2009
"63,000",2009
"65,000",2009
"68,000",2009
"80,000",2009
"80,000",2009
"83,000",2009
"84,000",2009
"97,200",2009
"99,000",2009
"100,000",2009
"100,000",2009
"103,000",2009
"130,000",2009
"131,000",2009
"160,000",2009
"187,000",2009
"225,000",2009
"236,000",2009
"250,000",2009
"250,000",2009
"400,000",2009
"531,400",2009
"573,000",2009
"807,000",2009
"1,000,000",2009
"1,500,000",2009
"5,000,000",2009
"32,000,000",2009
"76,000,000",2009
"130,000,000",2009
4,2010
8,2010
8,2010
11,2010
12,2010
12,2010
13,2010
14,2010
14,2010
15,2010
16,2010
17,2010
18,2010
18,2010
19,2010
20,2010
20,2010
20,2010
20,2010
23,2010
24,2010
24,2010
24,2010
25,2010
30,2010
30,2010
30,2010
30,2010
30,2010
32,2010
35,2010
36,2010
38,2010
40,2010
43,2010
50,2010
50,2010
50,2010
50,2010
53,2010
55,2010
58,2010
60,2010
60,2010
60,2010
62,2010
68,2010
70,2010
75,2010
77,2010
81,2010
82,2010
89,2010
100,2010
100,2010
100,2010
100,2010
100,2010
106,2010
110,2010
114,2010
117,2010
121,2010
128,2010
135,2010
140,2010
143,2010
145,2010
146,2010
147,2010
150,2010
160,2010
183,2010
197,2010
200,2010
200,2010
200,2010
200,2010
200,2010
200,2010
200,2010
200,2010
200,2010
200,2010
210,2010
210,2010
225,2010
232,2010
239,2010
244,2010
245,2010
250,2010
260,2010
260,2010
300,2010
349,2010
369,2010
400,2010
400,2010
500,2010
500,2010
500,2010
500,2010
500,2010
500,2010
500,2010
507,2010
528,2010
532,2010
532,2010
535,2010
540,2010
540,2010
542,2010
542,2010
550,2010
554,2010
554,2010
556,2010
556,2010
560,2010
568,2010
578,2010
578,2010
584,2010
585,2010
585,2010
585,2010
596,2010
600,2010
600,2010
600,2010
600,2010
605,2010
613,2010
613,2010
616,2010
625,2010
625,2010
649,2010
653,2010
656,2010
657,2010
657,2010
660,2010
669,2010
669,2010
689,2010
689,2010
692,2010
692,2010
694,2010
694,2010
700,2010
700,2010
706,2010
708,2010
709,2010
716,2010
735,2010
735,2010
757,2010
757,2010
759,2010
771,2010
771,2010
800,2010
800,2010
800,2010
800,2010
800,2010
800,2010
800,2010
808,2010
812,2010
837,2010
837,2010
845,2010
845,2010
857,2010
878,2010
900,2010
900,2010
900,2010
928,2010
928,2010
937,2010
955,2010
955,2010
956,2010
957,2010
957,2010
967,2010
967,2010
969,2010
"1,000",2010
"1,000",2010
"1,000",2010
"1,000",2010
"1,000",2010
"1,000",2010
"1,000",2010
"1,000",2010
"1,000",2010
"1,000",2010
"1,000",2010
"1,000",2010
"1,000",2010
"1,000",2010
"1,001",2010
"1,012",2010
"1,017",2010
"1,020",2010
"1,023",2010
"1,073",2010
"1,076",2010
"1,085",2010
"1,085",2010
"1,097",2010
"1,097",2010
"1,100",2010
"1,100",2010
"1,101",2010
"1,104",2010
"1,104",2010
"1,105",2010
"1,191",2010
"1,199",2010
"1,200",2010
"1,200",2010
"1,200",2010
"1,200",2010
"1,200",2010
"1,200",2010
"1,200",2010
"1,250",2010
"1,250",2010
"1,270",2010
"1,270",2010
"1,272",2010
"1,285",2010
"1,286",2010
"1,298",2010
"1,300",2010
"1,300",2010
"1,300",2010
"1,300",2010
"1,300",2010
"1,309",2010
"1,309",2010
"1,361",2010
"1,361",2010
"1,400",2010
"1,400",2010
"1,427",2010
"1,430",2010
"1,433",2010
